#SampleID	Scientist	DNAConc	Year	Month	Day	Name	prebiotic	grouping	Timepoint	Sample	Sampletype	Description
51271	Sari	10	2018	2	21	Group 01 - Vehicle - PB	vehicle	1	1	vehicle	vehicle	51271
51272	Sari	10	2018	2	21	Group 01 - Vehicle - PB	vehicle	1	1	vehicle	vehicle	51272
51287	Sari	10	2018	2	21	Group 01 - Vehicle - PB	vehicle	1	2	vehicle	vehicle	51287
51288	Sari	10	2018	2	21	Group 01 - Vehicle - PB	vehicle	1	2	vehicle	vehicle	51288
51303	Sari	10	2018	2	21	Group 01 - Vehicle - PB	vehicle	1	3	vehicle	vehicle	51303
51304	Sari	10	2018	2	21	Group 01 - Vehicle - PB	vehicle	1	3	vehicle	vehicle	51304
51319	Sari	10	2018	2	21	Group 01 - Vehicle - PB	vehicle	1	4	vehicle	vehicle	51319
51320	Sari	10	2018	2	21	Group 01 - Vehicle - PB	vehicle	1	4	vehicle	vehicle	51320
51335	Sari	10	2018	2	21	Group 01 - Vehicle - PB	vehicle	1	5	vehicle	vehicle	51335
51336	Sari	10	2018	2	21	Group 01 - Vehicle - PB	vehicle	1	5	vehicle	vehicle	51336
51275	Sari	10	2018	2	21	Group 03 - Urolithin A 55mg/kg	UA	3	1	UA	UA	51275
51276	Sari	10	2018	2	21	Group 03 - Urolithin A 55mg/kg	UA	3	1	UA	UA	51276
51291	Sari	10	2018	2	21	Group 3 Sample not Collected 	UA	3	2	UA	UA	51291
51292	Sari	10	2018	2	21	Group 03 - Urolithin A 55mg/kg	UA	3	2	UA	UA	51292
51307	Sari	10	2018	2	21	Group 03 - Urolithin A 55mg/kg	UA	3	3	UA	UA	51307
51308	Sari	10	2018	2	21	Group 03 - Urolithin A 55mg/kg	UA	3	3	UA	UA	51308
51323	Sari	10	2018	2	21	Group 03 - Urolithin A 55mg/kg	UA	3	4	UA	UA	51323
51324	Sari	10	2018	2	21	Group 03 - Urolithin A 55mg/kg	UA	3	4	UA	UA	51324
